cbsa_code,county_fips,county_name,state_name
10100,46013,Brown County,South Dakota
10100,46045,Edmunds County,South Dakota
10140,53027,Grays Harbor County,Washington
10180,48059,Callahan County,Texas
10180,48253,Jones County,Texas
10180,48441,Taylor County,Texas
10220,40123,Pontotoc County,Oklahoma
10300,26091,Lenawee County,Michigan
10380,72003,Aguada Municipio,Puerto Rico
10380,72005,Aguadilla Municipio,Puerto Rico
10380,72011,Añasco Municipio,Puerto Rico
10380,72071,Isabela Municipio,Puerto Rico
10380,72081,Lares Municipio,Puerto Rico
10380,72099,Moca Municipio,Puerto Rico
10380,72117,Rincón Municipio,Puerto Rico
10380,72131,San Sebastián Municipio,Puerto Rico
10380,72141,Utuado Municipio,Puerto Rico
10420,39133,Portage County,Ohio
10420,39153,Summit County,Ohio
10460,35035,Otero County,New Mexico
10500,13095,Dougherty County,Georgia
10500,13177,Lee County,Georgia
10500,13273,Terrell County,Georgia
10500,13321,Worth County,Georgia
10540,41043,Linn County,Oregon
10580,36001,Albany County,New York
10580,36083,Rensselaer County,New York
10580,36091,Saratoga County,New York
10580,36093,Schenectady County,New York
10580,36095,Schoharie County,New York
10620,37167,Stanly County,North Carolina
10660,27047,Freeborn County,Minnesota
10700,01095,Marshall County,Alabama
10740,35001,Bernalillo County,New Mexico
10740,35043,Sandoval County,New Mexico
10740,35057,Torrance County,New Mexico
10740,35061,Valencia County,New Mexico
10760,01037,Coosa County,Alabama
10760,01123,Tallapoosa County,Alabama
10780,22043,Grant Parish,Louisiana
10780,22079,Rapides Parish,Louisiana
10820,27041,Douglas County,Minnesota
10860,48131,Duval County,Texas
10860,48249,Jim Wells County,Texas
10900,34041,Warren County,New Jersey
10900,42025,Carbon County,Pennsylvania
10900,42077,Lehigh County,Pennsylvania
10900,42095,Northampton County,Pennsylvania
10940,26057,Gratiot County,Michigan
10980,26007,Alpena County,Michigan
11020,42013,Blair County,Pennsylvania
11060,40065,Jackson County,Oklahoma
11100,48011,Armstrong County,Texas
11100,48065,Carson County,Texas
11100,48359,Oldham County,Texas
11100,48375,Potter County,Texas
11100,48381,Randall County,Texas
11140,13249,Schley County,Georgia
11140,13261,Sumter County,Georgia
11180,19015,Boone County,Iowa
11180,19169,Story County,Iowa
11220,36057,Montgomery County,New York
11260,02020,Anchorage Municipality,Alaska
11260,02170,Matanuska-Susitna Borough,Alaska
11380,48003,Andrews County,Texas
11420,18151,Steuben County,Indiana
11460,26161,Washtenaw County,Michigan
11500,01015,Calhoun County,Alabama
11540,55015,Calumet County,Wisconsin
11540,55087,Outagamie County,Wisconsin
11580,12027,DeSoto County,Florida
11620,40019,Carter County,Oklahoma
11620,40085,Love County,Oklahoma
11640,72013,Arecibo Municipio,Puerto Rico
11640,72027,Camuy Municipio,Puerto Rico
11640,72065,Hatillo Municipio,Puerto Rico
11640,72115,Quebradillas Municipio,Puerto Rico
11660,05019,Clark County,Arkansas
11700,37021,Buncombe County,North Carolina
11700,37087,Haywood County,North Carolina
11700,37089,Henderson County,North Carolina
11700,37115,Madison County,North Carolina
11740,39005,Ashland County,Ohio
11780,39007,Ashtabula County,Ohio
11820,41007,Clatsop County,Oregon
11860,20005,Atchison County,Kansas
11900,39009,Athens County,Ohio
11940,47107,McMinn County,Tennessee
11980,48213,Henderson County,Texas
12020,13059,Clarke County,Georgia
12020,13195,Madison County,Georgia
12020,13219,Oconee County,Georgia
12020,13221,Oglethorpe County,Georgia
12060,13013,Barrow County,Georgia
12060,13015,Bartow County,Georgia
12060,13035,Butts County,Georgia
12060,13045,Carroll County,Georgia
12060,13057,Cherokee County,Georgia
12060,13063,Clayton County,Georgia
12060,13067,Cobb County,Georgia
12060,13077,Coweta County,Georgia
12060,13085,Dawson County,Georgia
12060,13089,DeKalb County,Georgia
12060,13097,Douglas County,Georgia
12060,13113,Fayette County,Georgia
12060,13117,Forsyth County,Georgia
12060,13121,Fulton County,Georgia
12060,13135,Gwinnett County,Georgia
12060,13143,Haralson County,Georgia
12060,13149,Heard County,Georgia
12060,13151,Henry County,Georgia
12060,13159,Jasper County,Georgia
12060,13171,Lamar County,Georgia
12060,13199,Meriwether County,Georgia
12060,13211,Morgan County,Georgia
12060,13217,Newton County,Georgia
12060,13223,Paulding County,Georgia
12060,13227,Pickens County,Georgia
12060,13231,Pike County,Georgia
12060,13247,Rockdale County,Georgia
12060,13255,Spalding County,Georgia
12060,13297,Walton County,Georgia
12100,34001,Atlantic County,New Jersey
12120,01053,Escambia County,Alabama
12140,18033,DeKalb County,Indiana
12180,36011,Cayuga County,New York
12220,01081,Lee County,Alabama
12260,13033,Burke County,Georgia
12260,13073,Columbia County,Georgia
12260,13181,Lincoln County,Georgia
12260,13189,McDuffie County,Georgia
12260,13245,Richmond County,Georgia
12260,45003,Aiken County,South Carolina
12260,45037,Edgefield County,South Carolina
12300,23011,Kennebec County,Maine
12380,27099,Mower County,Minnesota
12420,48021,Bastrop County,Texas
12420,48055,Caldwell County,Texas
12420,48209,Hays County,Texas
12420,48453,Travis County,Texas
12420,48491,Williamson County,Texas
12460,13087,Decatur County,Georgia
12540,06029,Kern County,California
12580,24003,Anne Arundel County,Maryland
12580,24005,Baltimore County,Maryland
12580,24013,Carroll County,Maryland
12580,24025,Harford County,Maryland
12580,24027,Howard County,Maryland
12580,24035,Queen Anne's County,Maryland
12580,24510,Baltimore city,Maryland
12620,23019,Penobscot County,Maine
12660,55111,Sauk County,Wisconsin
12680,21179,Nelson County,Kentucky
12700,25001,Barnstable County,Massachusetts
12740,50023,Washington County,Vermont
12780,40147,Washington County,Oklahoma
12860,36037,Genesee County,New York
12900,05063,Independence County,Arkansas
12900,05135,Sharp County,Arkansas
12940,22005,Ascension Parish,Louisiana
12940,22007,Assumption Parish,Louisiana
12940,22033,East Baton Rouge Parish,Louisiana
12940,22037,East Feliciana Parish,Louisiana
12940,22047,Iberville Parish,Louisiana
12940,22063,Livingston Parish,Louisiana
12940,22077,Pointe Coupee Parish,Louisiana
12940,22091,St. Helena Parish,Louisiana
12940,22121,West Baton Rouge Parish,Louisiana
12940,22125,West Feliciana Parish,Louisiana
12980,26025,Calhoun County,Michigan
13020,26017,Bay County,Michigan
13060,48321,Matagorda County,Texas
13100,31067,Gage County,Nebraska
13140,48199,Hardin County,Texas
13140,48245,Jefferson County,Texas
13140,48361,Orange County,Texas
13180,55027,Dodge County,Wisconsin
13220,54019,Fayette County,West Virginia
13220,54081,Raleigh County,West Virginia
13260,18093,Lawrence County,Indiana
13300,48025,Bee County,Texas
13340,39091,Logan County,Ohio
13380,53073,Whatcom County,Washington
13420,27007,Beltrami County,Minnesota
13460,41017,Deschutes County,Oregon
13500,45069,Marlboro County,South Carolina
13540,50003,Bennington County,Vermont
13620,33007,Coos County,New Hampshire
13660,26107,Mecosta County,Michigan
13700,48227,Howard County,Texas
13720,51195,Wise County,Virginia
13720,51720,Norton city,Virginia
13740,30009,Carbon County,Montana
13740,30095,Stillwater County,Montana
13740,30111,Yellowstone County,Montana
13780,36007,Broome County,New York
13780,36107,Tioga County,New York
13820,01007,Bibb County,Alabama
13820,01009,Blount County,Alabama
13820,01021,Chilton County,Alabama
13820,01073,Jefferson County,Alabama
13820,01115,St. Clair County,Alabama
13820,01117,Shelby County,Alabama
13900,38015,Burleigh County,North Dakota
13900,38059,Morton County,North Dakota
13900,38065,Oliver County,North Dakota
13940,16011,Bingham County,Idaho
13980,51071,Giles County,Virginia
13980,51121,Montgomery County,Virginia
13980,51155,Pulaski County,Virginia
13980,51750,Radford city,Virginia
14010,17113,McLean County,Illinois
14020,18105,Monroe County,Indiana
14020,18119,Owen County,Indiana
14100,42037,Columbia County,Pennsylvania
14100,42093,Montour County,Pennsylvania
14140,51021,Bland County,Virginia
14140,51185,Tazewell County,Virginia
14140,54055,Mercer County,West Virginia
14180,05093,Mississippi County,Arkansas
14220,22117,Washington Parish,Louisiana
14260,16001,Ada County,Idaho
14260,16015,Boise County,Idaho
14260,16027,Canyon County,Idaho
14260,16045,Gem County,Idaho
14260,16073,Owyhee County,Idaho
14300,48147,Fannin County,Texas
14380,37189,Watauga County,North Carolina
14420,48233,Hutchinson County,Texas
14460,25021,Norfolk County,Massachusetts
14460,25023,Plymouth County,Massachusetts
14460,25025,Suffolk County,Massachusetts
14460,25009,Essex County,Massachusetts
14460,25017,Middlesex County,Massachusetts
14460,33015,Rockingham County,New Hampshire
14460,33017,Strafford County,New Hampshire
14500,08013,Boulder County,Colorado
14540,21003,Allen County,Kentucky
14540,21031,Butler County,Kentucky
14540,21061,Edmonson County,Kentucky
14540,21227,Warren County,Kentucky
14580,30031,Gallatin County,Montana
14620,42083,McKean County,Pennsylvania
14660,27021,Cass County,Minnesota
14660,27035,Crow Wing County,Minnesota
14700,29213,Taney County,Missouri
14720,08117,Summit County,Colorado
14740,53035,Kitsap County,Washington
14780,48477,Washington County,Texas
14820,37175,Transylvania County,North Carolina
14860,09001,Fairfield County,Connecticut
15020,28085,Lincoln County,Mississippi
15060,41015,Curry County,Oregon
15100,46011,Brookings County,South Dakota
15140,47075,Haywood County,Tennessee
15180,48061,Cameron County,Texas
15220,48049,Brown County,Texas
15260,13025,Brantley County,Georgia
15260,13127,Glynn County,Georgia
15260,13191,McIntosh County,Georgia
15340,39033,Crawford County,Ohio
15380,36029,Erie County,New York
15380,36063,Niagara County,New York
15420,16031,Cassia County,Idaho
15420,16067,Minidoka County,Idaho
15460,17071,Henderson County,Illinois
15460,19057,Des Moines County,Iowa
15500,37001,Alamance County,North Carolina
15540,50007,Chittenden County,Vermont
15540,50011,Franklin County,Vermont
15540,50013,Grand Isle County,Vermont
15580,30093,Silver Bow County,Montana
15620,26113,Missaukee County,Michigan
15620,26165,Wexford County,Michigan
15660,13129,Gordon County,Georgia
15680,24037,St. Mary's County,Maryland
15700,24019,Dorchester County,Maryland
15740,39059,Guernsey County,Ohio
15780,05013,Calhoun County,Arkansas
15780,05103,Ouachita County,Arkansas
15820,21087,Green County,Kentucky
15820,21217,Taylor County,Kentucky
15860,08043,Fremont County,Colorado
15940,39019,Carroll County,Ohio
15940,39151,Stark County,Ohio
15980,12071,Lee County,Florida
16020,17003,Alexander County,Illinois
16020,29017,Bollinger County,Missouri
16020,29031,Cape Girardeau County,Missouri
