cbsa_code,cbsa_title,metro_micro,population
10100,"Aberdeen, SD",Micropolitan Statistical Area,42668
10140,"Aberdeen, WA",Micropolitan Statistical Area,75061
10180,"Abilene, TX",Metropolitan Statistical Area,172060
10220,"Ada, OK",Micropolitan Statistical Area,38284
10300,"Adrian, MI",Micropolitan Statistical Area,98451
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,289289
10420,"Akron, OH",Metropolitan Statistical Area,703479
10460,"Alamogordo, NM",Micropolitan Statistical Area,67490
10500,"Albany, GA",Metropolitan Statistical Area,146726
10540,"Albany-Lebanon, OR",Metropolitan Statistical Area,129749
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,880381
10620,"Albemarle, NC",Micropolitan Statistical Area,62806
10660,"Albert Lea, MN",Micropolitan Statistical Area,30281
10700,"Albertville, AL",Micropolitan Statistical Area,96774
10740,"Albuquerque, NM",Metropolitan Statistical Area,918018
10760,"Alexander City, AL",Micropolitan Statistical Area,51030
10780,"Alexandria, LA",Metropolitan Statistical Area,152037
10820,"Alexandria, MN",Micropolitan Statistical Area,38141
10860,"Alice, TX",Micropolitan Statistical Area,51639
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,844052
10940,"Alma, MI",Micropolitan Statistical Area,40711
10980,"Alpena, MI",Micropolitan Statistical Area,28405
11020,"Altoona, PA",Metropolitan Statistical Area,121829
11060,"Altus, OK",Micropolitan Statistical Area,24530
11100,"Amarillo, TX",Metropolitan Statistical Area,265053
11140,"Americus, GA",Micropolitan Statistical Area,34781
11180,"Ames, IA",Metropolitan Statistical Area,123351
11220,"Amsterdam, NY",Micropolitan Statistical Area,49221
11260,"Anchorage, AK",Metropolitan Statistical Area,396317
11380,"Andrews, TX",Micropolitan Statistical Area,18705
11420,"Angola, IN",Micropolitan Statistical Area,34594
11460,"Ann Arbor, MI",Metropolitan Statistical Area,367601
11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,113605
11540,"Appleton, WI",Metropolitan Statistical Area,237974
11580,"Arcadia, FL",Micropolitan Statistical Area,38001
11620,"Ardmore, OK",Micropolitan Statistical Area,58364
11640,"Arecibo, PR",Metropolitan Statistical Area,174606
11660,"Arkadelphia, AR",Micropolitan Statistical Area,22320
11700,"Asheville, NC",Metropolitan Statistical Area,462680
11740,"Ashland, OH",Micropolitan Statistical Area,53484
11780,"Ashtabula, OH",Micropolitan Statistical Area,97241
11820,"Astoria, OR",Micropolitan Statistical Area,40224
11860,"Atchison, KS",Micropolitan Statistical Area,16073
11900,"Athens, OH",Micropolitan Statistical Area,65327
11940,"Athens, TN",Micropolitan Statistical Area,53794
11980,"Athens, TX",Micropolitan Statistical Area,82737
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,213750
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,6020364
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,263670
12120,"Atmore, AL",Micropolitan Statistical Area,36633
12140,"Auburn, IN",Micropolitan Statistical Area,43475
12180,"Auburn, NY",Micropolitan Statistical Area,76576
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,164542
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,608980
12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,122302
12380,"Austin, MN",Micropolitan Statistical Area,40062
12420,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,2227083
12460,"Bainbridge, GA",Micropolitan Statistical Area,26404
12540,"Bakersfield, CA",Metropolitan Statistical Area,900202
