zip_code,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services
06390,183,179,175,0,0,4,4,2.3956164383561642,0.0,110,73,66,35,10,58.9,3.0,1.7,-,114860,0.2462686567164179
10001,22924,19678,12182,1289,5731,1687,3246,1.7573831550156864,3.0999999999999996,11671,11253,4825,3400,1807,36.7,2912.0,13.3,88526,196505,0.12827298050139277
10002,74993,54603,16472,5249,30847,7645,20390,2.184007155635063,8.3,36230,38763,21188,15810,8099,43.6,20565.0,27.7,35859,71841,0.2754383872122152
10003,54682,50176,38521,2961,7366,3491,4506,1.7024659317103048,3.5,27503,27179,9253,6433,2993,32.3,3812.0,8.5,112131,306152,0.06627770574797802
10004,3028,2916,1834,47,899,67,112,1.8254490657022302,3.8000000000000003,1267,1761,415,228,61,37.1,66.0,2.2,157645,305243,0.016377649325626204
10005,8831,8223,6132,219,1497,327,608,2.0155304069501603,13.3,4003,4828,147,112,28,30.1,840.0,9.5,173333,292722,0.023957409050576754
10006,3454,3040,2183,36,687,71,414,1.927591973244147,10.9,1633,1821,126,16,0,31.8,164.0,4.7,176250,263224,0.03815640347563279
10007,7023,6443,5056,294,826,387,580,2.2552032222629075,6.300000000000001,4118,2905,692,434,76,36.0,145.0,2.3,246813,458884,0.03619197482297404
10009,57925,43578,29677,4936,7428,6539,14347,1.923798439181916,4.4,26519,31406,12204,8837,3504,37.1,13560.0,23.4,61548,116167,0.11759937646141855
10010,33730,30027,21570,1728,5773,2108,3703,1.855675411836486,3.4000000000000004,17370,16360,5824,4723,1829,34.7,3952.0,12.7,117923,281159,0.0540238811765848
10011,50472,44768,36075,2382,4627,3582,5704,1.6789230293875308,4.3,26058,24414,11714,8166,3596,40.6,5483.0,11.1,128613,348111,0.051043807141368115
10012,23411,21917,16332,596,4055,977,1494,1.8283473133460675,7.8999999999999995,11579,11832,4430,3322,1106,33.9,2591.0,11.6,109037,243647,0.048658172946597994
10013,28709,26981,15042,1044,9545,1546,1728,2.236395795094277,9.7,14029,14680,6193,4452,2204,38.0,3093.0,11.5,105442,314885,0.14222873900293256
10014,30738,28691,25787,311,1725,529,2047,1.6665055680509078,2.2,15513,15225,6490,4582,1874,38.3,1928.0,6.4,126601,341450,0.04667933537981776
10016,51057,47514,33836,1780,9748,2744,3543,1.7084921842578502,3.7,24165,26892,9548,7422,3390,33.5,4816.0,9.7,117004,273083,0.03299088409781508
10017,15801,14869,10825,354,3352,478,932,1.5736143361938413,5.2,7134,8667,4237,3363,1098,39.7,975.0,6.2,127506,286117,0.03713842503878091
10018,9687,8216,4611,432,2867,561,1471,1.8881609421000978,6.6,5144,4543,1007,703,284,32.8,1490.0,15.5,108914,196114,0.10755595613639778
10019,43703,36375,24786,2331,7554,3144,7328,1.6959745162812647,5.4,22413,21290,9234,6794,2484,39.5,5342.0,12.3,98833,253219,0.07447212910806235
10020,0,0,0,0,0,0,0,,,0,0,0,0,0,-,0.0,-,-,-,
10021,46215,42551,36643,270,4333,681,3664,1.8235349655944952,3.2,21010,25205,12381,10250,5045,41.0,2185.0,4.8,118289,363052,0.024371725761141903
10022,31125,29439,24521,373,3801,732,1686,1.6861898166103386,2.0,14113,17012,10994,8881,4407,47.5,1149.0,3.8,135363,427259,0.045727856096205347
10023,62435,55873,45242,2348,6637,3088,6562,1.8043373994598282,3.1,27151,35284,17612,14025,5928,43.3,5014.0,8.2,130452,331875,0.05228115518597595
10024,59001,52581,45305,1731,4274,2744,6420,2.023591179437237,2.3,26607,32394,15431,11479,4755,43.1,4197.0,7.2,131668,375977,0.05175296966901165
10025,92805,71069,50675,9197,8271,14041,21736,2.09293104271057,3.6,41890,50915,25020,18590,7392,41.3,12890.0,14.6,85930,221643,0.11590847464697662
10026,39363,30974,7744,19796,2308,22257,8389,2.4752244792340536,4.4,18124,21239,5860,4113,1754,35.1,9804.0,25.2,58884,107008,0.20150851085516258
10027,64548,48121,16194,23723,6121,26969,16427,2.4035945571374575,5.4,29804,34744,9343,6562,2944,31.0,16555.0,28.6,46113,97728,0.18085339969260045
10028,47793,44260,38688,392,4506,881,3533,1.8857982463069753,3.8,20516,27277,11482,8873,4066,38.9,2403.0,5.0,125140,370171,0.027365687388410973
10029,79597,41475,12310,20558,7395,25714,38122,2.3996560429157463,7.7,36356,43241,15322,10705,5415,35.1,25526.0,33.2,34016,76698,0.24772917506277708
10030,29882,22227,3217,17098,536,20149,7655,2.2938599246231153,7.800000000000001,13233,16649,5003,3319,1662,36.1,8777.0,29.4,37232,86144,0.2875151342496973
10031,60254,29299,10485,14291,2279,26486,30955,2.72377476205656,8.5,30567,29687,10009,6548,3086,34.2,13451.0,22.4,49891,75008,0.3031186763480538
10032,64264,21670,9038,8737,2888,14433,42594,2.9794072189237584,11.9,32163,32101,11632,8301,3873,34.7,14585.0,23.1,50391,72422,0.3554741980474198
