OBJECTID,ZIPCODE1,ZIPCODE2,ZIPNAME,zipcode_SH,zip_code,zip_name,cases,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services,pct_over_age_65,pct_white,pct_minority,pct_black,pct_hispanic,cases_per_1000
60,21213,02451021213,Clifton,94111344.81286621,21213,Clifton,128.0,31701.0,31178.0,2312.0,28051.0,79.0,28629.0,523.0,2.8061336536750305,2.2,13403.0,18298.0,5808.0,3550.0,1387.0,35.5,9647.0,30.7,36136.0,55649,0.3925225537820958,0.11198384908993407,0.07293145326645847,0.9270685467335416,0.8848616762878143,0.016497902274376204,4.03772751648213
70,21205,02451021205,Baltimore,56821491.617004395,21205,Baltimore,68.0,14580.0,12309.0,2512.0,9169.0,228.0,9845.0,2271.0,2.772499520797393,6.2,6949.0,7631.0,2351.0,1540.0,595.0,31.2,5184.0,35.8,30699.0,46389,0.40438683948155535,0.1056241426611797,0.17229080932784638,0.8277091906721536,0.6288751714677641,0.15576131687242797,4.663923182441701
52,21227,02451021227,Halethorpe,30442.091186523438,21227,Halethorpe,163.0,33822.0,30203.0,22172.0,5048.0,1638.0,6005.0,3619.0,2.773984458956766,4.300000000000002,16490.0,17332.0,6035.0,4293.0,1985.0,34.9,5499.0,16.5,65395.0,84909,0.2948815889992361,0.12692921766897286,0.6555496422446928,0.3444503577553072,0.14925196617586187,0.10700136006149844,4.819348353142924
41,21231,02451021231,Baltimore,22834695.78479004,21231,Baltimore,67.0,16160.0,14684.0,8496.0,4771.0,888.0,4958.0,1476.0,2.142780082987552,1.4,7698.0,8462.0,1898.0,1320.0,369.0,32.8,3076.0,19.1,71719.0,128628,0.1105532786885246,0.08168316831683169,0.5257425742574258,0.47425742574257423,0.2952351485148515,0.09133663366336633,4.146039603960396
51,21229,02451021229,Carroll,146269988.09973145,21229,Carroll,268.0,47644.0,46556.0,7710.0,35900.0,1496.0,37212.0,1088.0,2.62,1.5,22220.0,25424.0,9534.0,6442.0,2709.0,35.3,8459.0,18.0,47131.0,69915,0.3097932288116337,0.13521114935773654,0.1618252035933171,0.8381747964066829,0.7535051632944337,0.02283603391822685,5.625052472504407
58,21217,02451021217,Druid,88093739.28186035,21217,Druid,93.0,34487.0,33921.0,3427.0,29372.0,408.0,29692.0,566.0,2.462979783181951,2.9000000000000004,16084.0,18403.0,6970.0,4994.0,1796.0,35.8,12117.0,35.9,29121.0,65395,0.34388152766952457,0.1448081885928031,0.0993707773943805,0.9006292226056195,0.8516832429611157,0.016411981326296867,2.6966683097978947
63,21216,02451021216,Baltimore,92055257.94262695,21216,Baltimore,95.0,31409.0,31111.0,498.0,29812.0,80.0,30468.0,298.0,2.8277148924383715,1.9,14714.0,16695.0,6500.0,4361.0,1679.0,36.7,7843.0,25.6,39846.0,60686,0.38977560050568894,0.13884555382215288,0.015855328090674647,0.9841446719093253,0.9491547008819128,0.009487726447833423,3.0246107803495814
72,21215,02451021215,Arlington,182566205.2541504,21215,Arlington,415.0,58448.0,57049.0,9044.0,46939.0,294.0,47797.0,1399.0,2.5918137254901956,1.7,25298.0,33150.0,15493.0,11351.0,5633.0,42.8,14167.0,24.7,37517.0,69321,0.3080805698381999,0.19420681631535724,0.15473583356145634,0.8452641664385436,0.8030899260881468,0.023935806186695868,7.10032849712565
44,21226,02451021226,Curtis Bay,52061346.02496338,21226,Curtis Bay,19.0,6257.0,5977.0,4521.0,1251.0,41.0,1575.0,280.0,2.6947231833910035,2.2,2589.0,3668.0,1244.0,765.0,306.0,36.3,805.0,12.9,71250.0,103722,0.25175047740292805,0.1222630653667892,0.7225507431676522,0.2774492568323478,0.19993607159980822,0.04474988013424964,3.036599009109797
39,21207,02451021207,Gwynn Oak,81586890.02624512,21207,Gwynn Oak,273.0,47687.0,46043.0,4348.0,39740.0,725.0,40581.0,1644.0,2.561824892797047,1.5,21805.0,25882.0,12268.0,9150.0,3736.0,42.4,6507.0,13.8,56719.0,82310,0.2726068527022253,0.19187619267305556,0.09117788915217984,0.9088221108478202,0.8333508083964183,0.03447480445404408,5.724830666638706
50,21222,02451021222,Dundalk,4221059.290100098,21222,Dundalk,198.0,54873.0,51335.0,40556.0,6890.0,1868.0,8193.0,3538.0,2.6565264078519024,2.1,26378.0,28495.0,12249.0,8737.0,3699.0,38.8,8134.0,14.9,52339.0,76371,0.334856684706354,0.1592222039983234,0.7390884405809779,0.2609115594190221,0.12556266287609572,0.06447615402839284,3.6083319665409217
40,21201,02451021201,Baltimore,36894474.06262207,21201,Baltimore,45.0,17136.0,16451.0,5788.0,8548.0,1369.0,9272.0,685.0,1.7613086632862232,1.7999999999999998,7876.0,9260.0,2507.0,1741.0,605.0,30.3,4755.0,28.9,34559.0,75298,0.17511218124110758,0.10159897292250233,0.3377684407096172,0.6622315592903828,0.4988328664799253,0.03997432306255835,2.6260504201680672
71,21208,02451021208,Pikesville,5367860.3017578125,21208,Pikesville,223.0,36441.0,35024.0,18556.0,14889.0,1052.0,15295.0,1417.0,2.3569640496960087,1.2000000000000002,16010.0,20431.0,11867.0,9349.0,4774.0,46.5,3177.0,8.9,79800.0,134236,0.17319552306989494,0.25655168628742353,0.5092066628248402,0.4907933371751598,0.4085782497736066,0.03888477264619522,6.119480804588238
45,21226,02451021226,Curtis Bay,2771464.0352783203,21226,Curtis Bay,19.0,6257.0,5977.0,4521.0,1251.0,41.0,1575.0,280.0,2.6947231833910035,2.2,2589.0,3668.0,1244.0,765.0,306.0,36.3,805.0,12.9,71250.0,103722,0.25175047740292805,0.1222630653667892,0.7225507431676522,0.2774492568323478,0.19993607159980822,0.04474988013424964,3.036599009109797
