objectid,shape_area,shape_len,zip,zip_code,cases,total_tested,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services,pct_over_age_65,pct_white,pct_minority,pct_black,pct_hispanic,cases_per_1000
33.0,106052287.488,42720.0444058,60647,60647,622,2476,87509,48283,38809,4758,2588,7140,39226,2.5057898830443053,2.7,44327,43182,9107,6224,2208,31.8,12931.0,14.9,73443.0,120158,0.21180058389274226,0.07112411294838245,0.44348581288781724,0.5565141871121828,0.05437155035482065,0.44825103703619057,7.10784033642254
34.0,127476050.762,48103.7827213,60639,60639,1504,3724,90517,19979,6104,11687,1377,13599,70538,3.5270254204145486,6.9,45009,45508,12629,8137,2904,33.1,19213.0,21.4,44150.0,62874,0.4629496056934026,0.08989471590971862,0.06743484649292399,0.932565153507076,0.1291138681131721,0.7792790304583669,16.615663356054664
35.0,45069038.4783,27288.6096123,60707,60707,413,1751,43019,26514,20677,3367,1683,3814,16505,2.7393562012031234,2.9000000000000004,20752,22267,9406,6745,2912,39.6,4472.0,10.4,57554.0,90506,0.2898428336851982,0.1567911852902206,0.48064808572956136,0.5193519142704386,0.07826774216044073,0.3836676817220298,9.600409121550943
51.0,3450671.14336,7909.89040711,60707,60707,413,1751,43019,26514,20677,3367,1683,3814,16505,2.7393562012031234,2.9000000000000004,20752,22267,9406,6745,2912,39.6,4472.0,10.4,57554.0,90506,0.2898428336851982,0.1567911852902206,0.48064808572956136,0.5193519142704386,0.07826774216044073,0.3836676817220298,9.600409121550943
36.0,70853834.3797,42527.9896789,60622,60622,361,1627,52793,41214,34144,3230,2253,4294,11579,2.2398393848782567,1.7000000000000002,27216,25577,4574,3119,1300,31.7,6614.0,12.7,93988.0,164186,0.13637243247726205,0.05907980224650995,0.6467524103574338,0.3532475896425662,0.06118235372113727,0.21932832004242986,6.83802776883299
37.0,99039621.2518,47970.1401531,60651,60651,795,2392,63218,36358,2623,32370,306,34029,26860,3.2026255533506336,7.300000000000002,29134,34084,10482,7220,2782,33.0,16159.0,25.7,38083.0,55997,0.4464478764478764,0.11420797874023221,0.04149134740105666,0.9585086525989434,0.5120377107785757,0.4248789901610301,12.575532285108672
38.0,23506055.7304,34689.3506306,60611,60611,103,1100,32426,30725,23167,893,5724,1131,1701,1.5413847341503424,1.7999999999999998,15207,17219,9614,7079,2858,38.9,3222.0,10.1,103522.0,275666,0.045639141365306515,0.21831246530561896,0.714457534077592,0.28554246592240795,0.027539628693024117,0.05245790415098995,3.176463331894159
39.0,166166339.096,67710.6467392,60638,60638,608,2293,58797,28357,25612,1734,317,2349,30440,2.9125580474280905,3.4,29033,29764,11760,8239,3597,37.7,4521.0,7.7,67984.0,93488,0.2957766797706207,0.14012619691480857,0.43560045580556833,0.5643995441944316,0.029491300576560027,0.5177134887834414,10.340663639301326
40.0,128309832.185,48187.9498796,60652,60652,436,1443,43907,26428,4472,20590,373,21572,17479,3.26562602842184,3.1,20784,23123,7109,4740,1763,35.7,4979.0,11.4,68425.0,84481,0.3255465708295897,0.10795545129478215,0.1018516409684105,0.8981483590315895,0.46894572619400093,0.3980914205024256,9.930079486186711
1.0,49170578.9623,33983.9133065,60626,60626,573,1886,49730,39478,22444,12304,2919,13322,10252,2.0617834679038234,6.5,24582,25148,7478,5031,2007,34.0,11505.0,24.8,40591.0,81726,0.28601472134595163,0.10116629800924995,0.4513171124069978,0.5486828875930022,0.24741604665192038,0.2061532274281118,11.522219987934848
8.0,66565454.8469,38321.3137692,60615,60615,248,1519,41563,38990,10984,22738,3336,23992,2573,1.9337401761196853,1.2999999999999998,19140,22423,8282,6022,2403,33.8,10097.0,24.6,44111.0,116923,0.15276914990204046,0.1448884825445709,0.26427351249909775,0.7357264875009022,0.5470731179173784,0.06190602218319178,5.966845511632942
9.0,104746821.074,42299.9203908,60621,60621,324,1167,29042,27981,320,27378,76,27640,1061,2.6065504587155957,2.8,13184,15858,5800,3928,1826,34.0,12390.0,43.5,20991.0,40608,0.4135181550539745,0.13525239308587564,0.011018524894979684,0.9889814751050203,0.9427036705461056,0.03653329660491702,11.15625645616693
