ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,MODZCTA,cases,Total,zcta_cum.perc_pos,zip_code,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services,pct_over_age_65,pct_white,pct_minority,pct_black,pct_hispanic,cases_per_1000
11436,0,Jamaica,18681.0,22699295.4594145,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11436,459,979,46.88,11436,20077.0,17108.0,308.0,11991.0,2084.0,12945.0,2969.0,3.5485092277369645,9.0,9918.0,10159.0,3246.0,2113.0,829.0,36.9,2213.0,11.1,75242.0,95711,0.2877027838974565,0.10524480749115904,0.015340937391044479,0.9846590626089555,0.5972505852467999,0.14788065946107487,22.86198137171888
11213,0,Brooklyn,62426.0,29631004.437939,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11213,1208,2619,46.12,11213,66295.0,59235.0,13651.0,42570.0,1252.0,46001.0,7060.0,2.61374915091701,9.1,30437.0,35858.0,10851.0,7603.0,3462.0,33.4,15449.0,23.6,41710.0,69062,0.2691744828044968,0.1146843653367524,0.20591296477864093,0.794087035221359,0.6421298740478166,0.10649370239082886,18.2215853382608
11212,0,Brooklyn,83866.0,41972104.0714198,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11212,1527,3365,45.38,11212,76527.0,62261.0,907.0,59207.0,974.0,63695.0,14266.0,2.2226766071087942,5.699999999999998,32439.0,44088.0,14705.0,10241.0,4257.0,37.6,26929.0,36.1,26239.0,57515,0.3738253578140813,0.1338220497340808,0.011852026082297752,0.9881479739177023,0.77367465077685,0.18641786558992252,19.953741816613743
11225,0,Brooklyn,56527.0,23698630.1249252,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11225,1012,2216,45.67,11225,58882.0,53969.0,14516.0,35980.0,1521.0,38536.0,4913.0,2.4371474797759802,7.0,26817.0,32065.0,10880.0,7446.0,3079.0,34.8,10895.0,18.6,55862.0,93590,0.2455536431440046,0.12645630243537923,0.24652695220950374,0.7534730477904963,0.6110526137019803,0.08343806256580959,17.18691620529194
11218,0,Brooklyn,72280.0,36868798.9897562,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11218,1464,3105,47.15,11218,74508.0,61419.0,39092.0,5637.0,13789.0,7142.0,13089.0,2.9659165125070377,13.8,37538.0,36970.0,12443.0,8800.0,3406.0,34.2,14736.0,19.9,69415.0,104228,0.2273904851625059,0.11810812261770548,0.5246684919740162,0.4753315080259838,0.07565630536318248,0.1756724110162667,19.64889676276373
11226,0,Brooklyn,106132.0,39408598.2790117,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11226,1870,3899,47.96,11226,100277.0,83132.0,12161.0,65421.0,2878.0,69703.0,17145.0,2.712063811831324,13.4,45123.0,55154.0,17827.0,11923.0,4858.0,34.7,17403.0,17.4,52052.0,76813,0.3197226029499008,0.11890064521276066,0.12127407082381803,0.878725929176182,0.6524028441217826,0.17097639538478415,18.648344086879344
11219,0,Brooklyn,92561.0,42002738.4672304,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11219,2421,5394,44.88,11219,90036.0,79123.0,55723.0,815.0,22002.0,1246.0,10913.0,3.6389418747441673,25.6,44986.0,45050.0,14575.0,10627.0,4748.0,27.8,31731.0,35.5,39295.0,61515,0.300773607055778,0.11803056555155715,0.6188968856901684,0.38110311430983157,0.009051934781642899,0.12120707272646497,26.88924430227909
11210,0,Brooklyn,67067.0,47887022.9921604,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11210,1458,3130,46.58,11210,67040.0,62324.0,19773.0,38113.0,2828.0,40155.0,4716.0,2.9958602416131495,10.9,30595.0,36445.0,12718.0,8892.0,3302.0,35.6,8288.0,12.4,65900.0,102615,0.2761404532633012,0.13263723150357995,0.29494331742243435,0.7050566825775657,0.5685113365155131,0.07034606205250597,21.748210023866346
11230,0,Brooklyn,80857.0,49926703.3933172,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11230,1961,4299,45.62,11230,89075.0,79956.0,58782.0,6138.0,12547.0,6909.0,9119.0,2.8902917702472855,15.0,42716.0,46359.0,18448.0,13740.0,6527.0,33.8,20276.0,22.9,49541.0,93905,0.2728513705362018,0.15425203480213304,0.6599158012910469,0.3400841987089531,0.06890822340724109,0.10237440359247825,22.015155767611564
11204,0,Brooklyn,77354.0,43555184.613285,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11204,1691,3731,45.32,11204,76978.0,68582.0,41872.0,851.0,24376.0,1118.0,8396.0,3.2549841108427615,16.700000000000006,38466.0,38512.0,14868.0,10477.0,4876.0,34.7,17475.0,22.8,49785.0,79824,0.2967478397486253,0.13610382187118397,0.5439476213983216,0.45605237860167835,0.011055106653849152,0.1090701239315129,21.96731533684949
